depth;date;year;temp
2.5;26.01.1955;1955;3.8
5;26.01.1955;1955;3.7
7.5;26.01.1955;1955;3.7
10;26.01.1955;1955;3.7
15;26.01.1955;1955;3.7
20;26.01.1955;1955;3.7
25;26.01.1955;1955;3.7
30;26.01.1955;1955;3.7
0;18.07.1955;1955;26.6
2.5;18.07.1955;1955;20.4
5;18.07.1955;1955;18.3
7.5;18.07.1955;1955;13.2
10;18.07.1955;1955;10.6
15;18.07.1955;1955;7
20;18.07.1955;1955;6.2
25;18.07.1955;1955;5.8
30;18.07.1955;1955;5.5
0;19.09.1955;1955;16.6
2.5;19.09.1955;1955;16.5
5;19.09.1955;1955;16.3
7.5;19.09.1955;1955;15.8
10;19.09.1955;1955;9.2
15;19.09.1955;1955;7.1
20;19.09.1955;1955;6.6
25;19.09.1955;1955;6.2
30;19.09.1955;1955;5.8
0;17.02.1956;1956;0.1
2.5;17.02.1956;1956;1.3
5;17.02.1956;1956;2.6
7.5;17.02.1956;1956;2.8
10;17.02.1956;1956;3
15;17.02.1956;1956;3.1
20;17.02.1956;1956;3.1
25;17.02.1956;1956;3.1
30;17.02.1956;1956;3
0;26.03.1956;1956;4.6
2.5;26.03.1956;1956;4.3
5;26.03.1956;1956;4.1
7.5;26.03.1956;1956;4
10;26.03.1956;1956;3.9
15;26.03.1956;1956;3.8
20;26.03.1956;1956;3.7
25;26.03.1956;1956;3.7
30;26.03.1956;1956;3.7
0;24.04.1956;1956;10
2.5;24.04.1956;1956;8.8
5;24.04.1956;1956;7.5
7.5;24.04.1956;1956;6.9
10;24.04.1956;1956;6.3
15;24.04.1956;1956;5.6
20;24.04.1956;1956;5.2
25;24.04.1956;1956;4.9
30;24.04.1956;1956;4.6
0;16.05.1956;1956;14.4
2.5;16.05.1956;1956;12.8
5;16.05.1956;1956;10.6
7.5;16.05.1956;1956;7.65
10;16.05.1956;1956;6.3
15;16.05.1956;1956;5.5
20;16.05.1956;1956;5
25;16.05.1956;1956;5
30;16.05.1956;1956;4.7
0;12.06.1956;1956;17.3
2.5;12.06.1956;1956;17.2
5;12.06.1956;1956;15.2
7.5;12.06.1956;1956;10.4
10;12.06.1956;1956;8
15;12.06.1956;1956;6
20;12.06.1956;1956;5.5
25;12.06.1956;1956;5.3
30;12.06.1956;1956;5
0;03.07.1956;1956;18.6
2.5;03.07.1956;1956;18
5;03.07.1956;1956;15.7
7.5;03.07.1956;1956;12.2
10;03.07.1956;1956;7.5
15;03.07.1956;1956;6.2
20;03.07.1956;1956;5.5
25;03.07.1956;1956;5.3
30;03.07.1956;1956;5.2
0;06.08.1956;1956;20.8
2.5;06.08.1956;1956;19.3
5;06.08.1956;1956;18.8
7.5;06.08.1956;1956;15.6
10;06.08.1956;1956;9.6
15;06.08.1956;1956;6.8
20;06.08.1956;1956;6.3
25;06.08.1956;1956;5.8
